Date / Time,City,State,Shape,Duration,Summary,Posted
5/7/14 22:00,Greeley,CO,Rectangle,5 minutes,"Large rectangular craft performing unknown maneuvers, then suddenly disappearing.",6/13/14
5/5/14 17:15,Boulder,CO,Other,20 seconds,"Four bright symmetrical horizontal lights on a craft in sky near dusk, banked left, lights dimmed and then they vanished",11/14/14
5/2/14 10:30,Colorado Springs,CO,Other,10 seconds,((NUFORC Note:  No information provided by witness.  PD)),5/8/14
5/1/14 21:35,Eaton,CO,,10 seconds,Large boomerang shaped light blue craft.,5/2/14
4/25/14 21:00,Rifle,CO,Sphere,1-5 minutes,Week long event so far dont know what they are but not from here.,5/2/14
4/22/14 21:30,Craig,CO,Light,6 seconds,Two craft moving in circular motion around each other.  One craft disapered. The other stoped and dimmed (still brighter than stars).,4/24/14
4/20/14 14:00,Denver,CO,Sphere,4+ minutes,White spheres.,4/24/14
4/15/14 01:15,Fort Collins,CO,Formation,5 seconds,Moving Triangular light pattern.,4/18/14
4/15/14 01:15,Denver,CO,Chevron,10 seconds,A boomerang-shaped black object flys overhead during an eclipse in Denver.,4/18/14
4/15/14 01:05,Denver,CO,Circle,20 seconds,((HOAX??))  Squadron of enormous UFOs seen over denver at moment of full lunar eclipse.,4/18/14
4/8/14 09:40,Colorado Springs,CO,Oval,Green Light,Silent Green Explosion Lights Up Colorado Springs,4/11/14
4/8/14 01:00,Aurora,CO,Light,hours,I thought it was stars but theses were moving sideways.  ((NUFORC Note:  Possible sighting of stars??  PD)),4/11/14
4/2/14 01:00,Colorado Springs,CO,Light,1:30,Bright light above my house.,4/11/14
4/1/14 12:00,Colorado Springs,CO,Oval,1 hour,Very bright round  light moving low in the sky,4/11/14
3/28/14 20:20,Fruita,CO,Unknown,~10,"Rapidly flashing green light in the west, moving steadily towards the northwest and gaining altitude",4/4/14
3/25/14 02:40,Fort Collins,CO,Fireball,3 minutes,Dark orange fireball shape seen in Fort Collins  Colorado.,3/27/14
3/24/14 19:47,Montrose,CO,Oval,4 seconds,"Round, peach-colored object heading wsw.",3/27/14
3/23/14 16:00,Gunnison,CO,Sphere,1 hour,A white sphere shaped object over Blue Mesa Reservoir moving North to South.,3/27/14
3/19/14 00:40,Aurora,CO,Fireball,10 minutes,Amber Orb hovering over the skies in Aurora Colorado.,4/4/14
3/15/14 20:15,Littleton,CO,Formation,5-10 minutes,"Glowing orange spheres in a ""V"" pattern in sky southwest of Littleton, moving eastward.",6/4/14
